column_name,count,mean,std,min,25%,50%,75%,max
FTABLETP,66573.0,0.019662625989515268,0.13883910356949675,0.0,0.0,0.0,0.0,1.0
FTAXP,66573.0,0.12676310215853273,0.33270990496841113,0.0,0.0,0.0,0.0,1.0
FTELP,66573.0,0.015922370931158277,0.12517621340352764,0.0,0.0,0.0,0.0,1.0
FTENP,66573.0,0.019948026977903956,0.1398227337243486,0.0,0.0,0.0,0.0,1.0
FVACSP,66573.0,0.014450302675258738,0.11933861635698101,0.0,0.0,0.0,0.0,1.0
FVALP,66573.0,0.09182401273789674,0.2887795285106648,0.0,0.0,0.0,0.0,1.0
FVEHP,66573.0,0.017469544710317995,0.13101380671306642,0.0,0.0,0.0,0.0,1.0
FWATP,66573.0,0.0710498250041308,0.25690998191012376,0.0,0.0,0.0,0.0,1.0
FYRBLTP,66573.0,0.1741246451264026,0.37921947897254815,0.0,0.0,0.0,0.0,1.0
WGTP1,74947.0,18.301226199847893,24.34245440706051,0.0,4.0,11.0,24.0,611.0
WGTP2,74947.0,18.303294327991782,24.265503307582424,0.0,4.0,11.0,24.0,568.0
WGTP3,74947.0,18.299758496003843,24.525293633887856,0.0,4.0,11.0,23.0,622.0
WGTP4,74947.0,18.299585040095,24.26256889904615,0.0,4.0,11.0,23.0,451.0
WGTP5,74947.0,18.30234699187426,24.32425372898845,-13.0,4.0,11.0,23.0,501.0
WGTP6,74947.0,18.29929149932619,24.531685901432216,0.0,4.0,11.0,23.0,516.0
WGTP7,74947.0,18.299625068381655,24.210261462035106,0.0,4.0,11.0,23.0,511.0
WGTP8,74947.0,18.3009460018413,24.175726756175553,0.0,4.0,11.0,24.0,449.0
WGTP9,74947.0,18.30224024977651,24.416906072139824,-2.0,3.0,11.0,24.0,734.0
WGTP10,74947.0,18.302013422818792,24.312954953883697,0.0,3.0,11.0,24.0,421.0
WGTP11,74947.0,18.301799938623294,24.3954164956923,0.0,4.0,11.0,24.0,542.0
WGTP12,74947.0,18.298530961879727,24.272806128284202,0.0,4.0,11.0,24.0,509.0
WGTP13,74947.0,18.30153308337892,23.833313968477988,0.0,4.0,11.0,23.0,508.0
WGTP14,74947.0,18.299051329606254,24.237269484571673,0.0,4.0,11.0,23.0,589.0
WGTP15,74947.0,18.30077254593246,24.08449387161856,-4.0,4.0,11.0,23.0,506.0
WGTP16,74947.0,18.300932659079084,24.151743436641787,-2.0,4.0,11.0,23.0,475.0
WGTP17,74947.0,18.299758496003843,24.268698080663885,0.0,4.0,11.0,24.0,617.0
WGTP18,74947.0,18.301332941945642,24.11381081287173,0.0,4.0,11.0,24.0,507.0
WGTP19,74947.0,18.30005203677265,23.81535013627728,0.0,4.0,11.0,23.0,513.0
WGTP20,74947.0,18.300345577541464,24.389434002879884,0.0,4.0,11.0,23.0,477.0
